LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageCars,WoodDeckSF,TotalPorch,GarageFinish,Functional,BsmtCond,LotConfig,LandSlope,BsmtQual,Foundation,FireplaceQu,PavedDrive,BsmtExposure,HouseStyle,Fence,SaleType,LandContour,BsmtFinType1,Neighborhood,Exterior2nd,LotShape,SaleCondition,KitchenQual,MasVnrType,RoofStyle,ExterCond,ExterQual,HeatingQC,Condition1,CentralAir,BldgType,MSZoning,GarageType,Electrical,MoSold,YrSold,YearBuiltlabel,YearRemodAdd_label,SalePrice,target
65,8450,7,5,196,150,856,1710,1,0,2,1,3,0,2,0,61,RFn,Typ,TA,Inside,Gtl,Gd,PConc,None,Y,No,2Story,None,WD,Lvl,GLQ,CollgCr,VinylSd,Reg,Normal,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,2,2008,1,1,208500,12.24769912
80,9600,6,8,0,284,1262,1262,0,1,2,0,3,1,2,298,0,RFn,Typ,TA,FR2,Gtl,Gd,CBlock,TA,Y,Gd,1Story,None,WD,Lvl,ALQ,Veenker,MetalSd,Reg,Normal,TA,None,Gable,TA,TA,Ex,Feedr,Y,1Fam,RL,Attchd,SBrkr,5,2007,4,4,181500,12.10901644
68,11250,7,5,162,434,920,1786,1,0,2,1,3,1,2,0,42,RFn,Typ,TA,Inside,Gtl,Gd,PConc,TA,Y,Mn,2Story,None,WD,Lvl,GLQ,CollgCr,VinylSd,IR1,Normal,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,9,2008,1,1,223500,12.31717117
60,9550,7,5,0,540,756,1717,1,0,1,0,3,1,3,0,307,Unf,Typ,Gd,Corner,Gtl,TA,BrkTil,Gd,Y,No,2Story,None,WD,Lvl,ALQ,Crawfor,Wd Shng,IR1,Abnorml,Gd,None,Gable,TA,TA,Gd,Norm,Y,1Fam,RL,Detchd,SBrkr,2,2006,6,4,140000,11.84940484
84,14260,8,5,350,490,1145,2198,1,0,2,1,4,1,3,192,84,RFn,Typ,TA,FR2,Gtl,Gd,PConc,TA,Y,Av,2Story,None,WD,Lvl,GLQ,NoRidge,VinylSd,IR1,Normal,Gd,BrkFace,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,12,2008,1,1,250000,12.4292202
85,14115,5,5,0,64,796,1362,1,0,1,1,1,0,2,40,30,Unf,Typ,TA,Inside,Gtl,Gd,Wood,None,Y,No,1.5Fin,MnPrv,WD,Lvl,GLQ,Mitchel,VinylSd,IR1,Normal,TA,None,Gable,TA,TA,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,10,2009,2,2,143000,11.8706069
75,10084,8,5,186,317,1686,1694,1,0,2,0,3,1,2,255,57,RFn,Typ,TA,Inside,Gtl,Ex,PConc,Gd,Y,Av,1Story,None,WD,Lvl,GLQ,Somerst,VinylSd,Reg,Normal,Gd,Stone,Gable,TA,Gd,Ex,Norm,Y,1Fam,RL,Attchd,SBrkr,8,2007,1,1,307000,12.63460628
80,10382,7,6,240,216,1107,2090,1,0,2,1,3,2,2,235,432,RFn,Typ,TA,Corner,Gtl,Gd,CBlock,TA,Y,Mn,2Story,None,WD,Lvl,ALQ,NWAmes,HdBoard,IR1,Normal,TA,Stone,Gable,TA,TA,Ex,PosN,Y,1Fam,RL,Attchd,SBrkr,11,2009,4,4,200000,12.20607765
51,6120,7,5,0,952,952,1774,0,0,2,0,2,2,2,90,205,Unf,Min1,TA,Inside,Gtl,TA,BrkTil,TA,Y,No,1.5Fin,None,WD,Lvl,Unf,OldTown,Wd Shng,Reg,Abnorml,TA,None,Gable,TA,TA,Gd,Artery,Y,1Fam,RM,Detchd,FuseF,4,2008,6,6,129900,11.7745279
50,7420,5,6,0,140,991,1077,1,0,1,0,2,2,1,0,4,RFn,Typ,TA,Corner,Gtl,TA,BrkTil,TA,Y,No,1.5Unf,None,WD,Lvl,GLQ,BrkSide,MetalSd,Reg,Normal,TA,None,Gable,TA,TA,Ex,Artery,Y,2fmCon,RL,Attchd,SBrkr,1,2008,6,6,118000,11.67844838
